"","id","type","hcldividi","hclturkre","hcleducat","hclpoliti","hclfiscal","hclsocial","hclgod","hclincome","hclage","hclgender","O","C","E","A","N","hcltrust","hclthough","hcltstpep","riskecon_1","ambigecon_1","mazeecon","trolley1","trolley2","k","prosociality","intellectualism","selfdetermination","selfcontrol"
"1","A2C4R0TBPZGWTD",1,3,6,5,1,6,6,7,6,32,0,-0.182594585608526,1.27127585857614,0.233147163366815,0.744409882346917,-1.15952996950216,6,1,4,4,3,1,-0.556720434056575,1.21959117661777,7e-04,-5.36902857516492,1.30132208548256,-0.95076249202668,0.256797853273076
"2","A1PLKT0OSX7AHC",2,3,2,5,4,2,1,5,2,61,1,-0.182594585608526,-0.952999600457794,0.707239054092645,-0.360843373982571,0.760127542975206,6,5,4,1,0,1,-1.43833827365378,0.501255003411478,0.0285,8.59815844484158,1.26624537155075,-1.18779880054075,-0.511535476179708
"3","A27BUT19WQ6P1O",1,4,5,5,5,4,2,5,6,31,0,0.857382070597413,-0.396930735699312,-0.715036618084846,0.191783254182173,-0.679615591382816,5,3,4,9,9,2,0.0971856394756699,-0.0641929882768975,0.0285,-0.938962872353318,0.428570055508813,3.22968733314859,3.4481325217963
"4","A4P9EVVQ6450I",1,3,5,4,3,4,5,7,6,25,1,-0.182594585608526,-0.396930735699312,-1.18912850881068,-0.360843373982571,-0.199701213263476,3,3,3,1,1,2,1.63270955260512,-0.629640979965272,0.175,4.28858379202162,1.64648349680821,-1.24112925930625,1.22004768873501
"5","A2MPVA616ASL2Q",0,3,2,5,3,6,1,2,7,34,0,-0.702582913711496,-0.396930735699312,-0.240944727359016,-0.360843373982571,0.760127542975206,5,3,4,3,1,2,0.556122639024133,0.294975098326247,0.00028,3.85682819591625,-0.278140165553472,-2.74787981139862,-2.30008522339346
"6","A2PIG9FJGLFYT8",1,3,2,6,6,1,1,2,6,32,1,-0.702582913711496,-0.396930735699312,-0.240944727359016,1.29703651051166,0.280213164855865,6,5,5,1,1,1,-0.520464274556858,0.294975098326247,0.011,0.399957510131439,-0.321907580421696,1.66716548893042,-2.53205422882324
"7","A1UN602ORDJ2FB",0,3,7,4,4,3,3,1,5,39,0,1.37737039870038,1.27127585857614,0.233147163366815,1.84966313867641,-1.6394443476215,5,1,5,1,1,1,-4.50938609991269,-1.14169724808633,0.0285,-4.52874186784414,-3.56707462242113,2.94164732821841,0.232618511892942
"8","A15TNSNKJUO6YK",2,4,7,5,5,3,2,1,4,23,1,-0.182594585608526,-1.50906846521628,1.18133094481848,0.191783254182173,0.760127542975206,3,2,4,3,4,1,-0.838816439371115,-0.782529161483187,0.00425,1.94606576549211,-1.9884382164429,0.637066111187188,0.305937361125006
"9","A1QUNP6IYOQMZ5",0,1,7,2,5,2,2,2,3,31,1,-0.182594585608526,0.715206993817653,-1.66322039953651,1.29703651051166,-1.6394443476215,5,5,5,3,3,2,0.255898553959735,-0.782529161483187,0.0285,-1.73695629630616,3.27356578603736,1.01843733198528,-0.679562920359684
"10","A8UM292EGKZ14",1,2,4,2,5,4,2,7,6,31,0,0.337393742494443,1.27127585857614,-0.240944727359016,-0.360843373982571,-0.199701213263476,2,2,4,1,1,1,0.0971856394756699,-0.0641929882768975,0.0705,13.127690936298,5.896347042758,-1.85836844292433,4.01074963353319
"11","AWKJJADX3CTGK",0,1,4,2,4,4,4,1,3,21,0,-0.702582913711496,-0.952999600457794,0.233147163366815,-0.360843373982571,0.280213164855865,4,3,3,5,5,1,-1.43833827365378,-1.34797715317156,0.0285,5.18344326186621,1.7422970249505,-0.90394196861013,1.53323825768574
"12","A2CCD4VLTX9XLF",1,1,7,6,1,5,5,7,10,41,1,-0.702582913711496,1.27127585857614,-1.66322039953651,1.84966313867641,-0.199701213263476,7,4,4,1,1,1,1.63270955260512,1.21959117661777,0.011,5.23344725482359,1.31580439157646,-1.38120855144586,-2.96625517304487
"14","AY1L166BXZUXX",0,3,3,2,4,3,3,7,9,43,1,-0.182594585608526,1.27127585857614,-1.66322039953651,0.191783254182173,0.280213164855865,6,2,4,5,2,1,1.17377255305666,-0.0641929882768975,0.0705,-6.15001283189074,2.77317754481872,-0.541308509353333,-1.59737154023028
"15","A31MUNC13V9YDJ",1,1,3,3,3,3,3,7,3,60,1,-0.702582913711496,1.27127585857614,-0.240944727359016,1.84966313867641,-0.679615591382816,6,1,5,5,3,2,1.63270955260512,0.294975098326247,0.0285,-2.91627321572434,2.572014655287,-0.38254978272758,0.219343240047778
"16","A1VN4FQ5ZV95PW",1,1,6,5,1,6,6,7,3,27,1,0.857382070597413,1.27127585857614,-1.66322039953651,-0.360843373982571,-0.199701213263476,7,1,5,2,0,2,0.574250718773991,0.294975098326247,0.0705,-3.83773133314819,2.01755225864254,-0.591468658368761,-0.613845622479808
"17","A2LPRUXRREYKGO",0,2,2,4,5,3,3,7,2,50,1,-2.26254789802041,1.27127585857614,-1.66322039953651,0.744409882346917,-0.199701213263476,4,3,4,0,0,1,1.63270955260512,-0.629640979965272,0.0705,-2.22941513716839,3.36241384802281,-1.03790268478151,-1.76145567627888
"18","A11ED29FYJKV2E",1,3,5,4,5,2,2,7,6,29,1,-0.702582913711496,1.27127585857614,-0.715036618084846,0.191783254182173,1.71995629921389,5,2,4,3,4,1,0.115313719225528,-0.0641929882768975,0.006375,-5.10332602345361,1.92950835539667,0.3891660058811,-1.27710734327226
"19","A32TW06003ENEN",1,1,5,5,4,4,4,6,4,22,0,0.337393742494443,-0.396930735699312,1.65542283554431,0.744409882346917,-0.199701213263476,7,1,5,5,5,2,-1.52675877077075,-0.0641929882768975,0.011,-3.20989984761846,-3.92186751938176,0.322287928995067,2.43558072318718
"20","A2I59F1JCFNNY5",1,1,1,6,6,2,1,5,9,37,0,0.857382070597413,0.715206993817653,2.12951472627014,-0.360843373982571,1.24004192109455,6,1,4,3,3,1,-1.27962535916972,-0.217081169794812,7e-04,-2.01360239398306,-3.44787066047512,-1.51423623869993,-0.0535322278066661
"21","AUT9J39A2N4LH",0,3,6,4,5,1,1,1,4,20,0,1.37737039870038,-0.396930735699312,1.18133094481848,-0.913470002147316,-1.6394443476215,3,1,4,5,2,1,-0.29145894270569,-1.70714523977471,0.0705,-1.19092487188962,-1.74804754999555,-1.24962140606778,0.153687314498292
"22","A2V6EGCX8EJR3B",1,4,3,5,6,1,1,5,5,51,0,-0.182594585608526,-1.50906846521628,-0.240944727359016,0.744409882346917,-0.199701213263476,5,2,4,1,1,1,1.63270955260512,-0.629640979965272,0.00175,3.43758860296439,-0.851519998666553,0.983496479700968,0.746588757993973
"23","A207OR9LVOPAPY",1,1,5,2,2,4,5,7,4,37,1,1.37737039870038,1.27127585857614,0.233147163366815,1.84966313867641,-0.679615591382816,6,2,5,5,5,1,0.255898553959735,-0.782529161483187,0.10175,-7.39723710664602,1.16157271018532,-0.070881921856044,-0.1368100109019
"24","A33B85TN97HQ33",0,3,1,4,2,4,5,7,6,44,1,-0.702582913711496,0.159138129059171,0.707239054092645,-2.0187232584768,-0.199701213263476,5,5,5,1,1,1,1.63270955260512,1.21959117661777,0.0285,-3.84065794003577,1.54062117217287,-2.68215927704149,-1.41531200232172
"25","A2BK9RMC0NOIH8",1,3,6,2,2,6,6,7,7,32,0,-1.74255956991744,0.715206993817653,0.233147163366815,0.744409882346917,-1.6394443476215,6,3,3,4,1,1,1.63270955260512,-0.629640979965272,7e-04,-3.5928268366331,2.43622806697952,-0.821504467776626,-2.20101518837191
"26","A34OMGZ5HHD3JH",1,1,7,6,5,1,1,2,6,34,1,0.337393742494443,1.27127585857614,1.18133094481848,0.744409882346917,0.760127542975206,5,2,5,0,0,1,1.63270955260512,-2.47887313654831,0.011,-5.94488197261625,0.698429940528677,1.00112087407716,2.13048822366353
"27","A2EZKS31ZFKEGN",0,3,6,5,5,3,1,1,5,26,1,1.37737039870038,-1.50906846521628,-0.240944727359016,-0.913470002147316,0.760127542975206,3,1,2,2,1,1,0.0450213018584252,0.294975098326247,0.00175,5.69895749643013,-3.66980668249304,1.1850011191795,1.90707313864285
"29","A3GUW5TPR84XVL",1,2,1,5,4,3,3,2,4,59,0,0.857382070597413,-0.396930735699312,-0.240944727359016,0.191783254182173,-0.199701213263476,6,3,4,2,1,1,-2.05598818768631,0.860423090014623,0.011,1.05372555030975,-1.18484248061462,0.624212076721946,-0.495985886002534
"30","A3KG85LTX4J6N0",0,3,2,5,3,6,3,7,7,31,0,0.337393742494443,-1.50906846521628,-1.18912850881068,-0.913470002147316,0.760127542975206,4,3,4,1,3,1,0.0971856394756699,0.860423090014623,0.00175,2.66393693882136,3.2257135487577,-2.56683616118523,-3.77008070149025
"31","A1CUH2X02NDA3B",1,3,5,5,5,2,2,1,5,27,1,-0.702582913711496,0.715206993817653,-1.18912850881068,0.191783254182173,0.280213164855865,6,1,4,2,1,1,-0.538592354306717,1.21959117661777,0.04075,-4.13536612627657,1.20452507683697,-0.420270830251364,-2.17433552602907
"32","ADFNG7NA7V0I",2,4,1,2,4,3,3,7,4,75,1,-0.702582913711496,1.27127585857614,-1.18912850881068,1.84966313867641,-1.6394443476215,7,1,5,0,0,1,1.63270955260512,0.294975098326247,0.0705,-3.98188007194627,2.86742772902299,1.8423779896614,-4.09829443153181
